Entity,Code,Day,0-17_fully,18-29_fully,25-49_fully,35-44_fully,45-54_fully,50-54_fully,40-49_fully,30-39_fully,25-34_fully,18-24_fully,50-59_fully,55-64_fully,60-69_fully,60-64_fully,55-59_fully,65-69_fully,70-74_fully,75+_fully,80+_fully,75-79_fully,70-79_fully,65-74_fully,12-17_fully,0-9_fully,10-19_fully,20-29_fully
Austria,AUT,2021-01-08,,,0,,,,,,,0,0,,0,,,,,,0,,0,,,,,
Austria,AUT,2021-01-15,,,0,,,,,,,0,0.01,,0,,,,,,0.02,,0.01,,,,,
Austria,AUT,2021-01-22,,,0.04,,,,,,,0.01,0.07,,0.06,,,,,,0.32,,0.07,,,,,
Austria,AUT,2021-01-29,,,0.24,,,,,,,0.1,0.37,,0.25,,,,,,1.04,,0.23,,,,,
Austria,AUT,2021-02-05,,,1.06,,,,,,,0.4,1.61,,1.14,,,,,,5.1,,1.08,,,,,
Austria,AUT,2021-02-12,,,2.01,,,,,,,0.8,2.9,,1.94,,,,,,10.29,,1.87,,,,,
Austria,AUT,2021-02-19,,,2.36,,,,,,,1,3.39,,2.25,,,,,,13.38,,2.23,,,,,
Austria,AUT,2021-02-26,,,2.61,,,,,,,1.12,3.76,,2.51,,,,,,14.06,,2.41,,,,,
Austria,AUT,2021-03-05,,,2.76,,,,,,,1.2,3.97,,2.67,,,,,,14.99,,2.56,,,,,
Austria,AUT,2021-03-12,,,2.89,,,,,,,1.25,4.16,,2.85,,,,,,19.15,,2.84,,,,,
Austria,AUT,2021-03-19,,,2.99,,,,,,,1.29,4.34,,3.1,,,,,,26.74,,3.25,,,,,
Austria,AUT,2021-03-26,,,3.12,,,,,,,1.37,4.63,,3.59,,,,,,42.22,,4.03,,,,,
Austria,AUT,2021-04-02,,,3.3,,,,,,,1.5,4.93,,4.22,,,,,,53.28,,5.52,,,,,
Austria,AUT,2021-04-09,,,4.16,,,,,,,2.21,6.1,,6.01,,,,,,62.59,,9.06,,,,,
Austria,AUT,2021-04-16,,,4.66,,,,,,,2.56,6.95,,7.63,,,,,,66.77,,13.15,,,,,
