Entity,Code,Day,80+_partly,0-17_partly,35-44_partly,18-29_partly,65-74_partly,45-54_partly,55-59_partly,30-39_partly,70-74_partly,55-64_partly,50-59_partly,60-64_partly,75-79_partly,40-49_partly,65-69_partly,70-79_partly,25-49_partly,18-24_partly,60-69_partly,25-34_partly,50-54_partly,75+_partly,12-17_partly,0-9_partly,20-29_partly,10-19_partly
Austria,AUT,2021-01-08,1.23,,,,,,,,,,0.54,,,,,0.27,0.39,0.12,0.32,,,,,,,
Austria,AUT,2021-01-15,6.03,,,,,,,,,,1.8,,,,,1.28,1.18,0.44,1.3,,,,,,,
Austria,AUT,2021-01-22,11.41,,,,,,,,,,3.08,,,,,2.08,2.13,0.86,2.05,,,,,,,
Austria,AUT,2021-01-29,13.06,,,,,,,,,,3.17,,,,,2.13,2.23,0.93,2.13,,,,,,,
Austria,AUT,2021-02-05,9.81,,,,,,,,,,2.24,,,,,1.43,1.62,0.75,1.43,,,,,,,
Austria,AUT,2021-02-12,5.54,,,,,,,,,,1.4,,,,,0.85,1.03,0.72,0.89,,,,,,,
Austria,AUT,2021-02-19,6.76,,,,,,,,,,1.75,,,,,0.81,1.35,1,1.09,,,,,,,
Austria,AUT,2021-02-26,13.7,,,,,,,,,,2.69,,,,,1.12,2.19,1.83,1.69,,,,,,,
Austria,AUT,2021-03-05,28.81,,,,,,,,,,3.94,,,,,2.02,3.11,2.53,2.66,,,,,,,
Austria,AUT,2021-03-12,38.26,,,,,,,,,,6.25,,,,,5.31,5.02,3.87,5.27,,,,,,,
Austria,AUT,2021-03-19,40.01,,,,,,,,,,8.05,,,,,10.56,6.27,4.54,7.89,,,,,,,
Austria,AUT,2021-03-26,29.57,,,,,,,,,,9.59,,,,,14.97,7.35,5.1,9.79,,,,,,,
Austria,AUT,2021-04-02,25.03,,,,,,,,,,10.31,,,,,21.42,7.74,5.33,10.81,,,,,,,
Austria,AUT,2021-04-09,21.48,,,,,,,,,,10.25,,,,,31.39,7.45,4.95,13.76,,,,,,,
Austria,AUT,2021-04-16,21.36,,,,,,,,,,11.59,,,,,41.38,8.05,5.09,20.09,,,,,,,
Austria,AUT,2021-04-23,19.05,,,,,,,,,,14.95,,,,,48.26,9.53,5.81,29.21,,,,,,,
Austria,AUT,2021-04-30,18.92,,,,,,,,,,19.27,,,,,48.13,11.12,6.75,39.63,,,,,,,
Austria,AUT,2021-05-07,18.3,,,,,,,,,,25.37,,,,,45.11,13.59,8.13,46.18,,,,,,,
Austria,AUT,2021-05-14,18.01,,,,,,,,,,32.03,,,,,43.05,16.14,9.72,50.37,,,,,,,
Austria,AUT,2021-05-21,15.04,,,,,,,,,,36.89,,,,,39.15,19.62,11.44,52.92,,,,,,,
Austria,AUT,2021-05-28,13.1,,,,,,,,,,37.85,,,,,33.61,21.6,12.93,50.6,,,,,,,
Austria,AUT,2021-06-04,12.23,,,,,,,,,,38.77,,,,,27.64,24.5,15.7,45.16,,,,,,,
Austria,AUT,2021-06-11,10.28,,,,,,,,,,37.32,,,,,23.71,26.41,19.24,35.66,,,,,,,
Austria,AUT,2021-06-18,8.65,,,,,,,,,,33.42,,,,,19.94,27.54,21.67,28.02,,,,,,,
Austria,AUT,2021-06-25,7.02,,,,,,,,,,25.73,,,,,14.43,27.14,23.35,21.94,,,,,,,
Austria,AUT,2021-07-02,5.94,,,,,,,,,,19.97,,,,,8.4,24.86,23.4,15.1,,,,,,,
Austria,AUT,2021-07-09,5.27,,,,,,,,,,15.66,,,,,5.81,21.37,23.37,11.22,,,,,,,
Austria,AUT,2021-07-16,4.79,,,,,,,,,,11.87,,,,,4.72,17.29,20.94,8.08,,,,,,,
Austria,AUT,2021-07-23,4.46,,,,,,,,,,8.28,,,,,4.15,13.77,17.5,6.45,,,,,,,
Austria,AUT,2021-07-30,4.12,,,,,,,,,,6.2,,,,,3.59,10.13,13.48,4.98,,,,,,,
Austria,AUT,2021-08-06,3.83,,,,,,,,,,4.86,,,,,3.13,7,10.37,3.99,,,,,,,
Austria,AUT,2021-08-13,3.56,,,,,,,,,,4,,,,,2.75,5.09,7.76,3.36,,,,,,,
Austria,AUT,2021-08-20,3.43,,,,,,,,,,3.45,,,,,2.5,4.08,5.21,2.94,,,,,,,
Austria,AUT,2021-08-27,3.4,,,,,,,,,,3.32,,,,,2.43,3.82,4.74,2.83,,,,,,,
Austria,AUT,2021-09-03,3.39,,,,,,,,,,3.28,,,,,2.41,3.75,4.64,2.78,,,,,,,
