"","Country.x","lifespan","Country.y"
"1","Afghanistan",64.833,"Afghanistan"
"2","Albania",78.573,"Albania"
"3","Algeria",76.88,"Algeria"
"4","Angola",61.147,"Angola"
"5","Antigua and Barbuda",77.016,"Antigua and Barbuda"
"6","Argentina",76.667,"Argentina"
"7","Armenia",75.087,"Armenia"
"8","Aruba",76.293,"Aruba"
"9","Australia",82.9,"Australia"
"10","Austria",81.79268293,"Austria"
"11","Azerbaijan",73.005,"Azerbaijan"
"12","Bahamas",73.918,"Bahamas"
"13","Bahrain",77.292,"Bahrain"
"14","Bangladesh",72.591,"Bangladesh"
"15","Barbados",79.19,"Barbados"
"16","Belarus",74.22682927,"Belarus"
"17","Belgium",81.74634146,"Belgium"
"18","Belize",74.623,"Belize"
"19","Benin",61.771,"Benin"
"20","Bhutan",71.777,"Bhutan"
"21","Bolivia",71.513,"Bolivia"
"22","Bosnia and Herzegovina",77.401,"Bosnia and Herzegovina"
"23","Botswana",69.592,"Botswana"
"24","Brazil",75.881,"Brazil"
"25","Brunei Darussalam",75.86,"Brunei Darussalam"
"26","Bulgaria",74.91463415,"Bulgaria"
"27","Burkina Faso",61.577,"Burkina Faso"
"28","Burundi",61.584,"Burundi"
"29","Cabo Verde",72.981,"Cabo Verde"
"30","Cambodia",69.823,"Cambodia"
"31","Cameroon",59.292,"Cameroon"
"32","Canada",82.04878049,"Canada"
"33","Central African Republic",53.283,"Central African Republic"
"34","Chad",54.239,"Chad"
"35","Channel Islands",83.086,"Channel Islands"
"36","Chile",80.181,"Chile"
"37","China",76.912,"China"
"38","Colombia",77.287,"Colombia"
"39","Comoros",64.321,"Comoros"
"40","Costa Rica",80.279,"Costa Rica"
"41","Cote d'Ivoire",57.783,"Cote d'Ivoire"
"42","Croatia",78.42439024,"Croatia"
"43","Cuba",78.802,"Cuba"
"44","Cyprus",80.982,"Cyprus"
"45","Czechia",79.12926829,"Czechia"
"46","Democratic Republic of Congo",60.681,"Democratic Republic of Congo"
"47","Denmark",81.20243902,"Denmark"
"48","Djibouti",67.112,"Djibouti"
"49","Dominican Republic",74.081,"Dominican Republic"
"50","Ecuador",77.01,"Ecuador"
"51","Egypt",71.99,"Egypt"
"52","El Salvador",73.317,"El Salvador"
"53","Equatorial Guinea",58.735,"Equatorial Guinea"
"54","Eritrea",66.321,"Eritrea"
"55","Estonia",78.49756098,"Estonia"
"56","Eswatini",60.194,"Eswatini"
"57","Ethiopia",66.597,"Ethiopia"
"58","Fiji",67.444,"Fiji"
"59","Finland",81.78536585,"Finland"
"60","France",82.57804878,"France"
"61","French Polynesia",77.657,"French Polynesia"
"62","Gabon",66.467,"Gabon"
"63","Gambia",62.05,"Gambia"
"64","Georgia",73.767,"Georgia"
"65","Germany",80.94146341,"Germany"
"66","Ghana",64.074,"Ghana"
"67","Greece",81.93902439,"Greece"
"68","Grenada",72.397,"Grenada"
"69","Guam",80.074,"Guam"
"70","Guatemala",74.302,"Guatemala"
"71","Guinea",61.602,"Guinea"
"72","Guinea-Bissau",58.322,"Guinea-Bissau"
"73","Guyana",69.906,"Guyana"
"74","Haiti",64.001,"Haiti"
"75","Honduras",75.27,"Honduras"
"76","Hong Kong SAR, China",85.07804878,"Hong Kong SAR, China"
"77","Hungary",76.02195122,"Hungary"
"78","Iceland",82.56097561,"Iceland"
"79","India",69.656,"India"
"80","Indonesia",71.716,"Indonesia"
"81","Iran",76.677,"Iran"
"82","Iraq",70.604,"Iraq"
"83","Ireland",82.30243902,"Ireland"
"84","Israel",82.80487805,"Israel"
"85","Italy",83.19756098,"Italy"
"86","Jamaica",74.475,"Jamaica"
"87","Japan",84.35634146,"Japan"
"88","Jordan",74.526,"Jordan"
"89","Kazakhstan",73.18,"Kazakhstan"
"90","Kenya",66.699,"Kenya"
"91","Kiribati",68.369,"Kiribati"
"92","North Korea",72.274,"North Korea"
"93","South Korea",83.22682927,"South Korea"
"94","Kuwait",75.489,"Kuwait"
