R0,final_coverage,vaccine_coverage_mat,deaths_averted,years_life_saved,,vaccine_coverage_mat,deaths_averted,years_life_saved
1.2,0.61,All, 527 ," 27,389 ",,Elderly, 390 ," 26,480 "
1.2,0.81,All," 8,616 "," 179,102 ",,Elderly," 9,360 "," 191,108 "
1.4,0.61,All, 503 ," 24,172 ",,Elderly, 337 ," 23,146 "
1.4,0.81,All," 8,521 "," 171,317 ",,Elderly," 9,337 "," 186,229 "
1.6,0.61,All, 901 ," 27,387 ",,Elderly, 717 ," 26,246 "
1.6,0.81,All," 9,947 "," 188,567 ",,Elderly," 10,923 "," 207,986 "
1.7,0.61,All," 1,606 "," 37,177 ",,Elderly," 1,426 "," 36,158 "
1.7,0.81,All," 11,988 "," 218,160 ",,Elderly," 13,070 "," 240,364 "
1.8,0.61,All," 2,804 "," 54,444 ",,Elderly," 2,640 "," 53,680 "
1.8,0.81,All," 15,456 "," 269,896 ",,Elderly," 16,639 "," 294,909 "
1.2,0.61,,,,,,,
1.2,0.81,,,,,,,
1.4,0.61,,,,,,,
1.4,0.81,,,,,,,
1.6,0.61,,,,,,,
1.6,0.81,,,,,,,
1.7,0.61,,,,,,,
1.7,0.81,,,,,,,
1.8,0.61,,,,,,,
1.8,0.81,,,,,,,
