WHO_REGION,UNICEF_REGION,WBINCOME_SHORT_STATUS,WHO_LEGAL_STATUS_TITLE,DEVELOPMENT_STATUS,COVAX_STATUS,COUNTRYNAME,ISO_3_CODE,MONTH_DESCRIPTION,PROCUREMENT_TYPE,MANUFACTURER_DESCRIPTION,VACCINE_NAME,TOTAL_DOSES
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-04-03T23:00:00.000Z,BILATERAL_AGREEMENT,Serum Institute of India,SII - Covishield,59000
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,AstraZeneca,AstraZeneca - Vaxzevria,59000
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,81000
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,Gamaleya Research Institute,Gamaleya - Gam-Covid-Vac,1000
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-05-04T23:00:00.000Z,DONATION,Serum Institute of India,AstraZeneca - Vaxzevria,59000
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-06-05T23:00:00.000Z,DONATION,Julphar,Julphar - Hayat-Vax,25000
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-10-09T23:00:00.000Z,DONATION,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,131120
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-10-09T23:00:00.000Z,DONATION,Chumakov,Gamaleya - Gam-Covid-Vac,1000
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-10-09T23:00:00.000Z,DONATION,Pfizer BioNTech,Pfizer BioNTech - Comirnaty,35100
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-10-09T23:00:00.000Z,DONATION,Serum Institute of India,SII - Covishield,59000
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-10-09T23:00:00.000Z,NR,NR,All vaccine types,226220
AFR,ESARO,Low income,Member State,Least developed,AMC,Burundi,BDI,2022-11-11T00:00:00.000Z,BILATERAL_AGREEMENT,Sinovac,Beijing CNBG - BBIBP-CorV,500000
AFR,ESARO,Low income,Member State,Least developed,AMC,Burundi,BDI,2022-11-11T00:00:00.000Z,MULTILATERAL_AFRICAN,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,151200
AFR,ESARO,Low income,Member State,Least developed,AMC,Burundi,BDI,2022-11-11T00:00:00.000Z,NR,NR,All vaccine types,651200
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,Sinovac,Sinovac - CoronaVac,3493200
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-11-11T00:00:00.000Z,BILATERAL_AGREEMENT,AstraZeneca,AstraZeneca - Vaxzevria,2779440
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-11-11T00:00:00.000Z,BILATERAL_AGREEMENT,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,3493200
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-11-11T00:00:00.000Z,BILATERAL_AGREEMENT,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-11-11T00:00:00.000Z,BILATERAL_AGREEMENT,Pfizer BioNTech,Pfizer BioNTech - Comirnaty,
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-09-08T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,4963440
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,2729750
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Pfizer BioNTech,Pfizer BioNTech - Comirnaty,1552200
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Serum Institute of India,SII - Covishield,2184000
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-11-11T00:00:00.000Z,NR,NR,All vaccine types,8456640
AFR,ESARO,Low income,Member State,Least developed,AMC,Madagascar,MDG,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,250000
AFR,ESARO,Low income,Member State,Least developed,AMC,Madagascar,MDG,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Sinovac,Sinovac - CoronaVac,468000
AFR,ESARO,Low income,Member State,Least developed,AMC,Madagascar,MDG,2022-11-11T00:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,
AFR,ESARO,Low income,Member State,Least developed,AMC,Madagascar,MDG,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,
AFR,ESARO,Low income,Member State,Least developed,AMC,Madagascar,MDG,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Serum Institute of India,SII - Covishield,
AFR,ESARO,Low income,Member State,Least developed,AMC,Madagascar,MDG,2022-11-11T00:00:00.000Z,DONATION,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,
AFR,ESARO,Low income,Member State,Least developed,AMC,Madagascar,MDG,2022-11-11T00:00:00.000Z,NR,NR,All vaccine types,
AFR,ESARO,Low income,Member State,Least developed,AMC,Malawi,MWI,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,AstraZeneca,AstraZeneca - Vaxzevria,50000
AFR,ESARO,Low income,Member State,Least developed,AMC,Malawi,MWI,2022-07-06T23:00:00.000Z,BILATERAL_AGREEMENT,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,50000
AFR,ESARO,Low income,Member State,Least developed,AMC,Malawi,MWI,2022-09-08T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,1787390
AFR,ESARO,Low income,Member State,Least developed,AMC,Malawi,MWI,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,638400
AFR,ESARO,Low income,Member State,Least developed,AMC,Malawi,MWI,2022-06-05T23:00:00.000Z,MULTILATERAL_AFRICAN,AstraZeneca,AstraZeneca - Vaxzevria,102000
