"","Country","Status","Date","Center.ID","Center","Verified","Type","Activity","Org","Capacity","Equipment..R.A.G.","Staff","Doctors","Nurses","Isolation.Facility","PPE","Burial.Site","Water","Power","Comm.","Date.open","Date.closed","Region","Adm1.ID","District","Adm2.ID","Adm3","Place","Lat","Long","Address","Clinic.Website","Notes..example..If.closed.why..","Source.of.info","Location.in.OSM","MTI..Zone","MTI..Zonal.Facility","UN.Team","UN.Site.No","UN.site.name","UTM","UN.Gr","UNMIL.Grid","UNMIL.Grid.New","Facility name","dl","cosine","exact","q_exact","OK"
"1","Liberia","","","UN199","Bargblor Town Clinic","","Clinic","","No","",NA,8,"-","2","","No","",NA,NA,NA,"Spring 2014","","Grand Gedeh","LBR06","Cavalla","LBR0602",NA,"Bargblor Town, Gborbo Clan",6.17891,-8.30204,"",NA,"About 12 miles from Zai Town on the Tappita-Zwedru Highway (per Liberia News Agency http://www.liberianewsagency.org/pagesnews.php?nid=916)","","","","","UNMO TEAM SITE - 07(ZWEDRU)",7,"Zwedru","29N","NG 730 770","29NNG 730 770","29NNG 730 770","Bargblor Clinic",5,0.0741799002274486,"no","yes",NA
"2","Liberia","","","UN203","Beh Town","","Clinic","","Merlin","",NA,NA,"-","2","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Cavalla","LBR0602",NA,"Beh (Gozo)",6.178194365,-8.031979,"",NA,"","","","","","UNMO TEAM SITE - 07(ZWEDRU)",7,"Zwedru","29N","PG 071 830","29NPG 071 830","29NPG 071 830","Beh Town Clinic (Cavalla)",17,0.444416100496284,"no","no",NA
"3","Liberia","  ","","UN202","Janzon Clinic","","Clinic","","Merlin,GOL","",NA,NA,"-","2","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Cavalla","LBR0602",NA,"Jazohn",6.223448709,-8.048166,"",NA,"","","","","","UNMO TEAM SITE - 07(ZWEDRU)",7,"Zwedru","29N","PG 053 880","29NPG 053 880","29NPG 053 880","Janzon Clinic",0,0,"yes","yes","yes"
"4","Liberia","","19.08.14","LR15-000004","Zai ","Y*","Clinic","","Merlin","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Cavalla","LBR0602",NA,"Zai",6.19343,-8.29393,"",NA,"Changed town name to Zai to match OSM and admin2 to Gbazon to match administrative boundaires from Map Library ","","","","","",NA,"","","","","","Zai Town Clinic",11,0.3,"no","no",NA
"5","Liberia","","19.08.14","LR15-000003","Zleh Town","Y","Health Center","","Merlin","8",NA,NA,"","","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Cavalla","LBR0602",NA,"Zleh Town",6.22689,-8.44005,"",NA,"","","","","","",NA,"","","","","","Beh Town Clinic (Cavalla)",19,0.380952380952381,"no","no",NA
"6","Liberia","","","UN201","Borleken Clinic","","","","No","",NA,NA,"-","2","","No","",NA,NA,NA,"","","Grand Gedeh","LBR06","Cavalla","LBR0602",NA,"",5.477048223,-8.71572,"",NA,"","","","","","UNMO TEAM SITE - 07(ZWEDRU)",7,"Zwedru","29N","NG 99581 7092","29NNG 99581 7092","29NNG 99581 7092","Gboleken Clinic",3,0.0869565217391303,"no","yes",NA
"7","Liberia","","19.08.14","LR15-000006","Gbarzon Polar","","Clinic","","Merlin","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Cavalla","LBR0602",NA,"",6.16245,-8.56683,"",NA,"","","","","","",NA,"","","","","","Bargblor Clinic",12,0.349185973381714,"no","no",NA
"8","Liberia","","","UN200","Tuzon Clinic","","","","","",NA,NA,"-","2","","No","",NA,NA,NA,"","","Grand Gedeh","LBR06","Cavalla","LBR0602",NA,"",6.169500692,-8.249805,"",NA,"","","","","","UNMO TEAM SITE - 07(ZWEDRU)",7,"Zwedru","29N","NG 830 820","29NNG 830 820","29NNG 830 820","Janzon Clinic",3,0.12712843905603,"no","no",NA
"9","Liberia","","","UN197","Gbarzon Jarwodee Clinic","","Clinic","","Merlin","",NA,NA,"-","2","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Gbao","LBR0603",NA,"Jarwodee",6.11346,-8.59979,"",NA,"","","","","","UNMO TEAM SITE - 07(ZWEDRU)",7,"Zwedru","29N","NG 733 775","29NNG 733 775","29NNG 733 775","Gbarzon Jarwodee Clinic",0,0,"yes","yes","yes"
"10","Liberia","","","UN196","Polar Town Clinic","","Clinic","","GOL","",NA,NA,"-","2","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Gbao","LBR0603",NA,"Polar Town",6.161709414,-8.564343,"",NA,"","","","","","UNMO TEAM SITE - 07(ZWEDRU)",7,"Zwedru","29N","NG 482 811","29NNG 482 811","29NNG 482 811","Polar Town Clinic",0,0,"yes","yes","yes"
"11","Liberia","","","UN195","Gbar Zon (ZleH) Health Center","","","","No","",NA,NA,"-","12","","On progress","",NA,NA,NA,"","","Grand Gedeh","LBR06","Gbao","LBR0603",NA,"",6.26467473,-8.488412,"",NA,"","","","","","UNMO TEAM SITE - 07(ZWEDRU)",7,"Zwedru","29N","NG 5659 9249","29NNG 5659 9249","29NNG 5659 9249","Gbarzon Health Center",9,0.0961960180674351,"no","yes",NA
"12","Liberia","","19.08.14","LR15-000015","Ziah Town","Y*","Health Center","","Merlin","4",NA,NA,"","","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Konobo","LBR0606",NA,"Fargo",5.76421,-7.85496,"",NA,"Geolocates to Fargo town, however this is about 2miles north of Ziah Town actual. I changed 'city' to Fargo. The Center name is 'Ziah Town'. Uncertain if the coords are just a bit imprecise or if indeed the clinic is in fargo which appears from satelitte imagery to be more densely populated","","","","","",NA,"","","","","","Boundary Clinic",12,0.464696620968689,"no","no",NA
"13","Liberia","","19.08.14","LR15-000002","Putu Pennoken","","Clinic","","Merlin","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Konobo","LBR0606",NA,"Pennoken",5.60069,-8.15372,"",NA,"","","","","","",NA,"","","","","","Konobo Health Center",16,0.383558599703102,"no","no",NA
"14","Liberia","","","UN192","Boundary Clinic","","","","","",NA,NA,"-","2","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Konobo","LBR0606",NA,"",5.879643572,-7.995475,"",NA,"","","","","","UNMO TEAM SITE - 07(ZWEDRU)",7,"Zwedru","29N","PG 112 500","29NPG 112 500","29NPG 112 500","Boundary Clinic",0,0,"yes","yes","yes"
"15","Liberia","","19.08.14","UN189","Putu Jarwodee Clinic","Y","","","Merlin","",NA,NA,"-","2","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Putu","LBR0607",NA,"Jarwodee",5.61499,-8.32108,"",NA,"","","","","","UNMO TEAM SITE - 07(ZWEDRU)",7,"Zwedru","29N","PF 060 910","29NPF 060 910","29NPF 060 910","Putu Jarwodee Clinic",0,0,"yes","yes","yes"
"16","Liberia","","","UN191","Karlowkeh Clinic","","","","","",NA,NA,"-","2","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Putu","LBR0607",NA,"Karlowieh",5.753266077,-8.151028,"",NA,"","","","","","UNMO TEAM SITE - 07(ZWEDRU)",7,"Zwedru","29N","NG 940 360","29NNG 940 360","29NNG 940 360","Karlorwleh Town Clinic",7,0.0807611844574884,"no","yes",NA
"17","Liberia","","","UN190","Pennoken Clinic","","Clinic","","GOL","",NA,NA,"-","2","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Putu","LBR0607",NA,"Pennoken",5.590408605,-8.124181,"",NA,"","","","","","UNMO TEAM SITE - 07(ZWEDRU)",7,"Zwedru","29N","NG 970 180","29NNG 970 180","29NNG 970 180","Putu Pennokon Clinic",6,0.113161607242091,"no","no",NA
"18","Liberia","","19.08.14","LR15-000011","Gboloken","Y","Clinic","","Merlin (GOL?)","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Tchien","LBR0608",NA,"Gbloken",6.10795,-8.19154,"",NA,"","","","","","",NA,"","","","","","Gorbowrogba Clinic",13,0.364914703891412,"no","no",NA
"19","Liberia","
","19.08.14","LR15-000010","MTM (Martha Tubman Memorial Hospital)","","Hospital","","Merlin","103",NA,NA,"2","38 (200 total)","","Yes","",NA,NA,NA,"","","Grand Gedeh","LBR06","Tchien","LBR0608",NA,"Zwedru",6.07795,-8.12434,"",NA,"","","","","","",NA,"","","","","","Martha Tubman Memorial Hospital",6,0.0380862909326932,"no","yes",NA
"20","Liberia","","19.08.14","LR15-000001","Putu Karlorwleh","","Clinic","","Merlin","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Tchien","LBR0608",NA,"Zwedru",6.06229,-8.13886,"",NA,"","","","","","",NA,"","","","","","Martha Tubman Memorial Hospital",25,0.378455224907595,"no","no",NA
"21","Liberia","","19.08.14","LR15-000013","Gorbowrogba","","Clinic","","Merlin","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Tchien","LBR0608",NA,"",6.06245,-8.13917,"",NA,"","","","","","",NA,"","","","","","Gorbowrogba Clinic",7,0.163339973465924,"no","no",NA
"22","Liberia","
","19.08.14","LR15-000021","Toffoi Town","Y","Clinic","","Merlin","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Grand Gedeh","LBR06","Tchien","LBR0608",NA,"",5.96996,-8.0867,"",NA,"","","","","","",NA,"","","","","","Toffoi Town Clinic",7,0.115009593244014,"no","no",NA
"23","Liberia","Open*","06/10/2014","LibFoy","Foya Case Management Centre","Y","ETU","ETC, Triage","Samaritans Purse, MSF","30",NA,NA,"","","","","",NA,NA,NA,"08.07.2014","-","Lofa","LBR08","Foya","LBR0801",NA,"Foya",8.378911,-10.205757,"",NA,"Samaritan’s Purse assumed responsibility for the CMC in Foya from MSF on July 8. The facility has been expanded and can now serve a maximum of 30 patients.","http://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20for%20ReliefWeb.pdf http://www.samaritans-purse.org.uk/battling-an-ebola-outbreak/","http://www.openstreetmap.org/node/2751280750","","","",NA,"","","","","","Foya  Health Center",14,0.12168993434632,"no","no",NA
"24","Liberia","","","UN276","Foya Borma Hospital","Y","","","","",NA,NA,"","","","Yes","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"Foya City",8.354897528,-10.200777,"",NA,"","","","","","UNMO TEAM SITE –11 (VOINJAMA)",11,"VOINJAMA","29P","LK 67783 23734","29PLK 67783 23734","29PLK 67783 23734","Foya Boma Hospital",1,0.0152680721653382,"no","yes",NA
"25","Liberia","","19.08.14","LR21-000051","Foya Community Clinic","","Clinic","","MOHSW only","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"Foya City",8.36317,-10.21287,"",NA,"","","","","","",NA,"","","","","","Foya Tengia Clinic",8,0.181412515313439,"no","no",NA
"26","Liberia","","19.08.14","LR21-000045","Foya Kamara Health Center","","Hospital","","MOHSW only","120",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"Foya City",8.35486,-10.20047,"",NA,"","","","","","",NA,"","","","","","Foya  Health Center",6,0.0910283237654095,"no","yes",NA
"27","Liberia","","19.08.14","LR21-000023","Foya Tengia Clinic","","Clinic","","PMU","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"Foya Tengia",8.27731,-10.27498,"",NA,"","","","","","",NA,"","","","","","Foya Tengia Clinic",0,0,"yes","yes","yes"
"28","Liberia","","","UN277","Lengbamgba Clinic","","Clinic","","GOL","",NA,NA,"0","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"Lengbamgba Town",8.216927267,-10.266468,"",NA,"","","","","","UNMO TEAM SITE –11 (VOINJAMA)",11,"VOINJAMA","29P","LK 60 08","29PLK 60 08","29PLK 605 085","Leingbamba Clinic",2,0.0350987186459846,"no","yes",NA
"29","Liberia","","19.08.14","LR21-000052","Porluma Health Post","","Clinic","","PMU","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"Porluma",8.43632,-10.10746,"",NA,"","","","","","",NA,"","","","","","Foya Boma Hospital",16,0.269749269748905,"no","no",NA
"30","Liberia","","19.08.14","LR21-000050","Shello Clinic","","Clinic","","PMU","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"Shelloe",8.38375,-10.20536,"",NA,"","","","","","",NA,"","","","","","Shelloe Clinic",1,0.0200421129877771,"no","yes",NA
"31","Liberia","","","UN283","Solomba Clinic","","Clinic","","","",NA,NA,"0","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"Solomba Town",8.50664847,-10.158395,"",NA,"","","","","","UNMO TEAM SITE –11 (VOINJAMA)",11,"VOINJAMA","29P","LK 72 40","29PLK 72 40","29PLK 725 405","Sorlumba Clinic",2,0.0766194831233614,"no","yes",NA
"32","Liberia","","","UN280","Worsonga Clinic","","","","","",NA,NA,"0","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"Worsonga Town",8.361589289,-10.276012,"",NA,"","","","","","UNMO TEAM SITE –11 (VOINJAMA)",11,"VOINJAMA","29P","LK 59 24","29PLK 59 24","29PLK 595 245","Worsonga Clinic",0,0,"yes","yes","yes"
"33","Liberia","","","UN279","Yegbedu Clinic","","","","","",NA,NA,"0","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"Yegbedu Town",8.235154349,-10.221138,"",NA,"","","","","","UNMO TEAM SITE –11 (VOINJAMA)",11,"VOINJAMA","29P","LK 65 10","29PLK 65 10","29PLK 655 105","Yekpedu Clinic",2,0.111111111111111,"no","yes",NA
"34","Liberia","","19.08.14","LR21-000021","Isaac Kpema","","Clinic","","SC-UK","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"",8.36056,-10.20963,"",NA,"","","","","","",NA,"","","","","","Isaac F. Gbema Clinic",12,0.28229299945399,"no","no",NA
"35","Liberia","","19.08.14","LR21-000018","Lamgbamba","","Clinic","","PMU","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"",8.2159,-12.27502,"",NA,"","","","","","",NA,"","","","","","Leingbamba Clinic",10,0.403579948020773,"no","no",NA
"36","Liberia","","19.08.14","LR21-000043","Sorlumba","","Clinic","","PMU","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"",8.49593,-10.16076,"",NA,"","","","","","",NA,"","","","","","Sorlumba Clinic",7,0.270003604911569,"no","no",NA
