f,ISO3,Pipeline,Vaccine,Funder,Doses,Source Url,NewPipeline,Date
#country+name,#country+code,#meta+vaccine+pipeline,#meta+vaccine+producer,#meta+vaccine+funder,#capacity+vaccine+doses,#meta+source+url,,
Afghanistan,AFG,Other,AstraZeneca,India,"500,000",https://www.thehindu.com/news/international/indias-donation-of-covid-19-vaccines-to-afghanistan-lauded/article34148051.ece,India,2021-03-24
Colombia,COL,COVAX,Pfizer/BioNTech,Global,"117,000",,COVAX|Global,
Colombia,COL,Other,Pfizer/BioNTech,Procured,"1,600,000",https://www.aa.com.tr/en/americas/colombia-s-first-shipment-of-covid-19-vaccines-arrive/2146126,Procured,2021-02-16
Colombia,COL,Other,Sinovac,Procured,"2,472,964",https://www.aa.com.tr/en/americas/colombia-s-first-shipment-of-covid-19-vaccines-arrive/2146126,Procured,2021-02-16
DRC,COD,COVAX,AstraZeneca,Global,"271,000",,COVAX|Global,2021-04-12
Mozambique,MOZ,Other,Sinopharm,China,"200,000",,China,
Myanmar,MMR,Other,AstraZeneca,India,"2,000,000",https://www.hindustantimes.com/india-news/india-sends-22-9-mn-doses-of-covid-19-vaccines-to-20-countries-more-in-pipeline-101613142400644.html,India,2021-02-12
Nigeria,NGA,COVAX,AstraZeneca,Global,"3,924,000",,COVAX|Global,
oPt,PSE,Other,Sputnik V,UAE,"20,000",https://www.middleeastmonitor.com/20210413-a-second-wave-of-covid-19-has-hit-the-gaza-strip-with-devastating-effect/,UAE,
oPt,PSE,Other,Sputnik V,Russia,"10,000",https://www.washingtonpost.com/world/middle_east/israel-gaza-vaccine-blocked/2021/02/17/5a29112a-70f7-11eb-8651-6d3091eac63f_story.html,Russia,
oPt,PSE,Other,Pfizer/BioNTech,Israel,"5,000",https://www.bbc.com/news/55800921,Israel,
Pakistan,PAK,Other,Sinopharm,Procured,"1,000,000",https://foreignpolicy.com/2021/02/25/pakistan-covid-vaccines-obstacles-covax/,Procured,
Sudan,SDN,COVAX,AstraZeneca,Global,"828,000",,COVAX|Global,
Ukraine,UKR,Other,AstraZeneca,Procured,"500,000",https://www.france24.com/en/live-news/20210223-ukraine-receives-first-covid-19-vaccine-doses,Procured,
Venezuela,VEN,Other,Sputnik V,Russia,"100,000",https://www.telesurenglish.net/news/Venezuela-Set-to-Receive-100000-Doses-of-Russian-Sputnik-V-20210210-0007.html,Russia,
Zimbabwe,ZWE,Other,Sinopharm,China,"400,000",https://www.reuters.com/article/health-coronavirus-zimbabwe-vaccine/update-1-zimbabwe-to-buy-12-mln-more-covid-19-vaccine-doses-from-china-idUSL1N2KU20B,China,
Mali,MLI,COVAX,AstraZeneca,Global,"396,000",https://www.aa.com.tr/en/africa/covid-19-vaccines-arrive-in-uganda-mali/2166061,COVAX|Global,
Ethiopia,ETH,COVAX,AstraZeneca,Global,"2,184,000",https://www.afro.who.int/news/22-million-covid-19-vaccines-allocated-covax-facility-arrive-ethiopia-marking-start-countrys,COVAX|Global,
Afghanistan,AFG,COVAX,AstraZeneca,Global,"468,000",https://reliefweb.int/report/afghanistan/covid-19-vaccines-shipped-covax-arrive-afghanistan,COVAX|Global,
Mozambique,MOZ,COVAX,AstraZeneca,Global,"384,000",https://eeas.europa.eu/headquarters/headquarters-homepage/94441/mozambique-receives-first-covax-covid-19-vaccines_en,COVAX|Global,
Somalia,SOM,COVAX,AstraZeneca,Global,"300,000",https://reliefweb.int/report/somalia/covid-19-vaccines-arrival-and-rollout-somalia-300000-doses-oxford-astrazeneca-vaccine,COVAX|Global,
Zimbabwe,ZWE,Other,Sputnik V,Russia,"75,000",https://www.reuters.com/article/health-coronavirus-zimbabwe-vaccine/update-1-zimbabwe-to-buy-12-mln-more-covid-19-vaccine-doses-from-china-idUSL1N2KU20B,Russia,
DRC,COD,Other,AstraZeneca,India,"50,000",https://twitter.com/IndiainDRC/status/1367869530798718976?s=20,India,
Venezuela,VEN,Other,Sinopharm,China,"500,000",https://www.reuters.com/article/health-coronavirus-venezuela-idUSL2N2L019T,China,
Mozambique,MOZ,Other,AstraZeneca,India,"100,000",https://www.mea.gov.in/vaccine-supply.htm,India,
oPt,PSE,COVAX,AstraZeneca,Global,"24,000",https://www.unicef.org/press-releases/arrival-first-wave-consignment-covax-covid-19-vaccine-doses-state-palestine,COVAX|Global,
Zimbabwe,ZWE,Other,Sinopharm,Procured,"144,000",https://www.southerntimesafrica.com/2021/03/1206/,Procured,
Niger,NER,Other,Sinopharm,China,"400,000",https://www.reuters.com/article/us-health-coronavirus-niger-idUSKBN2BD0UE,China,
South Sudan,SSD,COVAX,AstraZeneca,Global,"60,000",https://www.bloomberg.com/news/articles/2021-03-25/south-sudan-receives-132-000-astrazeneca-doses-from-covax,COVAX|Global,
